Country Name,Confirmed Cases,Reported Death,Recovered Cases,Active Cases,Date,Time
Iran,"24,811","1,934","8,376","14,501",24-03-2020,13:39
France,"19,856",860,"2,200","16,796",24-03-2020,13:39
Switzerland,"9,117",122,131,"8,864",24-03-2020,13:39
S. Korea,"9,037",120,"3,507","5,410",24-03-2020,13:39
UK,"6,650",335,135,"6,180",24-03-2020,13:39
Austria,"4,767",25,9,"4,733",24-03-2020,13:39
Netherlands,"4,749",213,2,"4,534",24-03-2020,13:39
Belgium,"4,269",122,461,"3,686",24-03-2020,13:39
Norway,"2,647",11,6,"2,630",24-03-2020,13:39
Australia,"2,136",8,118,"2,010",24-03-2020,13:39
Canada,"2,091",24,112,"1,955",24-03-2020,13:39
Portugal,"2,060",23,14,"2,023",24-03-2020,13:39
Sweden,"2,059",33,16,"2,010",24-03-2020,13:39
Brazil,"1,960",34,2,"1,924",24-03-2020,13:39
Israel,"1,656",1,49,"1,606",24-03-2020,13:39
Malaysia,"1,624",15,183,"1,426",24-03-2020,13:39
Denmark,"1,577",24,1,"1,552",24-03-2020,13:39
Turkey,"1,529",37,,"1,492",24-03-2020,13:39
Czechia,"1,289",2,7,"1,280",24-03-2020,13:39
Japan,"1,140",42,285,813,24-03-2020,13:39
Ireland,"1,125",6,5,"1,114",24-03-2020,13:39
Ecuador,981,18,3,960,24-03-2020,13:39
Pakistan,908,7,13,888,24-03-2020,13:39
Luxembourg,875,8,6,861,24-03-2020,13:39
Thailand,827,4,52,771,24-03-2020,13:39
Finland,782,1,10,771,24-03-2020,13:39
Poland,774,9,1,764,24-03-2020,13:39
Chile,746,2,11,733,24-03-2020,13:39
Diamond Princess,712,10,587,115,24-03-2020,13:39
Greece,695,17,29,649,24-03-2020,13:39
Indonesia,686,55,30,601,24-03-2020,13:39
Iceland,588,2,51,535,24-03-2020,13:39
Romania,576,8,73,495,24-03-2020,13:39
Saudi Arabia,562,,19,543,24-03-2020,13:39
South Africa,554,,4,550,24-03-2020,13:39
Philippines,552,33,19,500,24-03-2020,13:39
India,511,10,37,464,24-03-2020,13:39
Singapore,509,2,152,355,24-03-2020,13:39
Qatar,501,,37,464,24-03-2020,13:39
Russia,444,1,20,423,24-03-2020,13:39
Slovenia,442,3,,439,24-03-2020,13:39
Peru,395,5,1,389,24-03-2020,13:39
Bahrain,390,2,164,224,24-03-2020,13:39
Hong Kong,386,4,102,280,24-03-2020,13:39
Estonia,369,,7,362,24-03-2020,13:39
Mexico,367,4,4,359,24-03-2020,13:39
Egypt,366,19,68,279,24-03-2020,13:39
Croatia,361,1,5,355,24-03-2020,13:39
Panama,345,6,1,338,24-03-2020,13:39
Colombia,306,3,6,297,24-03-2020,13:39
Lebanon,304,4,8,292,24-03-2020,13:39
Argentina,301,4,51,246,24-03-2020,13:39
Iraq,266,23,62,181,24-03-2020,13:39
Serbia,249,3,3,243,24-03-2020,13:39
Dominican Republic,245,3,3,239,24-03-2020,13:39
Armenia,235,,2,233,24-03-2020,13:39
Algeria,230,17,65,148,24-03-2020,13:39
Taiwan,215,2,29,184,24-03-2020,13:39
Slovakia,204,,7,197,24-03-2020,13:39
Bulgaria,202,3,3,196,24-03-2020,13:39
UAE,198,2,41,155,24-03-2020,13:39
Latvia,197,,1,196,24-03-2020,13:39
Kuwait,191,,39,152,24-03-2020,13:39
San Marino,187,20,4,163,24-03-2020,13:39
Hungary,187,9,21,157,24-03-2020,13:39
Lithuania,187,1,1,185,24-03-2020,13:39
Uruguay,162,,,162,24-03-2020,13:39
Costa Rica,158,2,2,154,24-03-2020,13:39
New Zealand,155,,12,143,24-03-2020,13:39
Bosnia and Herzegovina,150,1,2,147,24-03-2020,13:39
Morocco,143,4,5,134,24-03-2020,13:39
North Macedonia,136,2,1,133,24-03-2020,13:39
Andorra,133,1,1,131,24-03-2020,13:39
Jordan,127,,1,126,24-03-2020,13:39
Albania,123,5,10,108,24-03-2020,13:39
Vietnam,123,,17,106,24-03-2020,13:39
Faeroe Islands,122,,23,99,24-03-2020,13:39
Cyprus,116,1,3,112,24-03-2020,13:39
Burkina Faso,114,4,7,103,24-03-2020,13:39
Moldova,109,1,2,106,24-03-2020,13:39
Malta,107,,2,105,24-03-2020,13:39
Brunei,104,,2,102,24-03-2020,13:39
Sri Lanka,100,,2,98,24-03-2020,13:39
Ukraine,97,3,1,93,24-03-2020,13:39
Tunisia,90,3,1,86,24-03-2020,13:39
Cambodia,87,,2,85,24-03-2020,13:39
Senegal,86,,8,78,24-03-2020,13:39
Oman,84,,17,67,24-03-2020,13:39
Venezuela,84,,15,69,24-03-2020,13:39
Belarus,81,,22,59,24-03-2020,13:39
Réunion,75,,1,74,24-03-2020,13:39
Azerbaijan,72,1,10,61,24-03-2020,13:39
Kazakhstan,68,,,68,24-03-2020,13:39
Georgia,67,,9,58,24-03-2020,13:39
Cameroon,66,,2,64,24-03-2020,13:39
Guadeloupe,62,1,,61,24-03-2020,13:39
Palestine,60,,17,43,24-03-2020,13:39
Martinique,53,1,,52,24-03-2020,13:39
Trinidad and Tobago,52,,,52,24-03-2020,13:39
Liechtenstein,51,,,51,24-03-2020,13:39
Uzbekistan,49,,,49,24-03-2020,13:39
DRC,45,2,,43,24-03-2020,13:39
Afghanistan,42,1,1,40,24-03-2020,13:39
Kyrgyzstan,42,,,42,24-03-2020,13:39
Cuba,40,1,,39,24-03-2020,13:39
Nigeria,40,1,2,37,24-03-2020,13:39
Bangladesh,39,4,5,30,24-03-2020,13:39
Mauritius,36,2,,34,24-03-2020,13:39
Channel Islands,36,,,36,24-03-2020,13:39
Mayotte,36,,,36,24-03-2020,13:39
Rwanda,36,,,36,24-03-2020,13:39
Puerto Rico,31,2,1,28,24-03-2020,13:39
Honduras,30,,,30,24-03-2020,13:39
Guam,29,1,,28,24-03-2020,13:39
Montenegro,29,1,,28,24-03-2020,13:39
Bolivia,28,,,28,24-03-2020,13:39
Ghana,27,2,,25,24-03-2020,13:39
Paraguay,27,2,,25,24-03-2020,13:39
Macao,25,,10,15,24-03-2020,13:39
Ivory Coast,25,,2,23,24-03-2020,13:39
Monaco,23,,1,22,24-03-2020,13:39
French Guiana,23,,6,17,24-03-2020,13:39
French Polynesia,23,,,23,24-03-2020,13:39
Jamaica,21,1,2,18,24-03-2020,13:39
Guatemala,20,1,,19,24-03-2020,13:39
Guyana,20,1,,19,24-03-2020,13:39
Isle of Man,20,,,20,24-03-2020,13:39
Togo,18,,,18,24-03-2020,13:39
Barbados,17,,,17,24-03-2020,13:39
Madagascar,17,,,17,24-03-2020,13:39
U.S. Virgin Islands,17,,,17,24-03-2020,13:39
Kenya,16,,,16,24-03-2020,13:39
Gibraltar,15,,5,10,24-03-2020,13:39
Maldives,13,,5,8,24-03-2020,13:39
Aruba,12,,1,11,24-03-2020,13:39
Ethiopia,12,,,12,24-03-2020,13:39
Tanzania,12,,,12,24-03-2020,13:39
Mongolia,10,,,10,24-03-2020,13:39
New Caledonia,10,,,10,24-03-2020,13:39
Equatorial Guinea,9,,,9,24-03-2020,13:39
Uganda,9,,,9,24-03-2020,13:39
Saint Martin,8,,,8,24-03-2020,13:39
Seychelles,7,,,7,24-03-2020,13:39
Gabon,6,1,,5,24-03-2020,13:39
Benin,6,,,6,24-03-2020,13:39
Bermuda,6,,,6,24-03-2020,13:39
Haiti,6,,,6,24-03-2020,13:39
Suriname,6,,,6,24-03-2020,13:39
Cayman Islands,5,1,,4,24-03-2020,13:39
El Salvador,5,,,5,24-03-2020,13:39
Curaçao,4,1,,3,24-03-2020,13:39
Bahamas,4,,,4,24-03-2020,13:39
Congo,4,,,4,24-03-2020,13:39
Fiji,4,,,4,24-03-2020,13:39
Greenland,4,,,4,24-03-2020,13:39
Guinea,4,,,4,24-03-2020,13:39
Namibia,4,,,4,24-03-2020,13:39
Eswatini,4,,,4,24-03-2020,13:39
Zimbabwe,3,1,,2,24-03-2020,13:39
Angola,3,,,3,24-03-2020,13:39
Antigua and Barbuda,3,,,3,24-03-2020,13:39
Cabo Verde,3,,,3,24-03-2020,13:39
CAR,3,,,3,24-03-2020,13:39
Chad,3,,,3,24-03-2020,13:39
Djibouti,3,,,3,24-03-2020,13:39
Liberia,3,,,3,24-03-2020,13:39
Niger,3,,,3,24-03-2020,13:39
St. Barth,3,,,3,24-03-2020,13:39
Saint Lucia,3,,,3,24-03-2020,13:39
Zambia,3,,,3,24-03-2020,13:39
Gambia,2,1,,1,24-03-2020,13:39
Sudan,2,1,,1,24-03-2020,13:39
Nepal,2,,1,1,24-03-2020,13:39
Bhutan,2,,,2,24-03-2020,13:39
Dominica,2,,,2,24-03-2020,13:39
Laos,2,,,2,24-03-2020,13:39
Mauritania,2,,,2,24-03-2020,13:39
Myanmar,2,,,2,24-03-2020,13:39
Nicaragua,2,,,2,24-03-2020,13:39
Sint Maarten,2,,,2,24-03-2020,13:39
Belize,1,,,1,24-03-2020,13:39
Eritrea,1,,,1,24-03-2020,13:39
Grenada,1,,,1,24-03-2020,13:39
Vatican City,1,,,1,24-03-2020,13:39
Montserrat,1,,,1,24-03-2020,13:39
Mozambique,1,,,1,24-03-2020,13:39
Papua New Guinea,1,,,1,24-03-2020,13:39
St. Vincent Grenadines,1,,,1,24-03-2020,13:39
Somalia,1,,,1,24-03-2020,13:39
Syria,1,,,1,24-03-2020,13:39
Timor-Leste,1,,,1,24-03-2020,13:39
Turks and Caicos,1,,,1,24-03-2020,13:39
China,"81,171","3,277","73,159","4,735",24-03-2020,23:13
Italy,"69,176","6,820","8,326","54,030",24-03-2020,23:13
USA,"52,431",674,370,"51,387",24-03-2020,23:13
Spain,"39,676","2,800","3,794","33,082",24-03-2020,23:13
Germany,"32,781",157,"3,243","29,381",24-03-2020,23:13
Iran,"24,811","1,934","8,913","13,964",24-03-2020,23:13
France,"22,304","1,100","3,281","17,923",24-03-2020,23:13
Switzerland,"9,877",122,131,"9,624",24-03-2020,23:13
S. Korea,"9,037",120,"3,507","5,410",24-03-2020,23:13
UK,"8,077",422,135,"7,520",24-03-2020,23:13
Netherlands,"5,560",276,2,"5,282",24-03-2020,23:13
Austria,"5,283",28,9,"5,246",24-03-2020,23:13
Belgium,"4,269",122,461,"3,686",24-03-2020,23:13
Norway,"2,779",12,6,"2,761",24-03-2020,23:13
Canada,"2,590",25,112,"2,453",24-03-2020,23:13
Portugal,"2,362",33,22,"2,307",24-03-2020,23:13
Sweden,"2,286",36,16,"2,234",24-03-2020,23:13
Australia,"2,144",8,118,"2,018",24-03-2020,23:13
Brazil,"2,100",34,2,"2,064",24-03-2020,23:13
Israel,"1,930",3,53,"1,874",24-03-2020,23:13
Turkey,"1,872",44,,"1,828",24-03-2020,23:13
Malaysia,"1,624",16,183,"1,425",24-03-2020,23:13
Denmark,"1,591",32,1,"1,558",24-03-2020,23:13
Czechia,"1,394",2,8,"1,384",24-03-2020,23:13
Japan,"1,193",43,285,865,24-03-2020,23:13
Ireland,"1,125",6,5,"1,114",24-03-2020,23:13
Luxembourg,"1,099",8,6,"1,085",24-03-2020,23:13
Ecuador,"1,049",27,3,"1,019",24-03-2020,23:13
Pakistan,972,7,18,947,24-03-2020,23:13
Chile,922,2,17,903,24-03-2020,23:13
Poland,884,10,1,873,24-03-2020,23:13
Thailand,827,4,52,771,24-03-2020,23:13
Finland,792,1,10,781,24-03-2020,23:13
Saudi Arabia,767,1,28,738,24-03-2020,23:13
Romania,762,11,79,672,24-03-2020,23:13
Greece,743,20,29,694,24-03-2020,23:13
Diamond Princess,712,10,587,115,24-03-2020,23:13
Indonesia,686,55,30,601,24-03-2020,23:13
Iceland,648,2,51,595,24-03-2020,23:13
Singapore,558,2,156,400,24-03-2020,23:13
South Africa,554,,4,550,24-03-2020,23:13
Philippines,552,35,20,497,24-03-2020,23:13
India,536,10,40,486,24-03-2020,23:13
Qatar,526,,41,485,24-03-2020,23:13
Russia,495,1,22,472,24-03-2020,23:13
Slovenia,480,4,3,473,24-03-2020,23:13
Peru,416,7,1,408,24-03-2020,23:13
Egypt,402,20,80,302,24-03-2020,23:13
Bahrain,392,3,177,212,24-03-2020,23:13
Hong Kong,386,4,102,280,24-03-2020,23:13
Croatia,382,1,5,376,24-03-2020,23:13
Estonia,369,,7,362,24-03-2020,23:13
Mexico,367,4,4,359,24-03-2020,23:13
Panama,345,6,1,338,24-03-2020,23:13
Lebanon,318,4,8,306,24-03-2020,23:13
Iraq,316,27,75,214,24-03-2020,23:13
Dominican Republic,312,6,3,303,24-03-2020,23:13
Colombia,306,3,6,297,24-03-2020,23:13
Serbia,303,3,15,285,24-03-2020,23:13
Argentina,301,6,52,243,24-03-2020,23:13
Algeria,264,19,24,221,24-03-2020,23:13
Armenia,249,,4,245,24-03-2020,23:13
UAE,248,2,45,201,24-03-2020,23:13
Bulgaria,218,3,3,212,24-03-2020,23:13
Taiwan,216,2,29,185,24-03-2020,23:13
Lithuania,209,2,1,206,24-03-2020,23:13
Slovakia,204,,7,197,24-03-2020,23:13
Latvia,197,,1,196,24-03-2020,23:13
Kuwait,191,,39,152,24-03-2020,23:13
San Marino,187,21,4,162,24-03-2020,23:13
Hungary,187,9,21,157,24-03-2020,23:13
Costa Rica,177,2,2,173,24-03-2020,23:13
Morocco,170,5,6,159,24-03-2020,23:13
Bosnia and Herzegovina,166,3,2,161,24-03-2020,23:13
Andorra,164,1,1,162,24-03-2020,23:13
Uruguay,162,,,162,24-03-2020,23:13
New Zealand,155,,12,143,24-03-2020,23:13
Jordan,153,,1,152,24-03-2020,23:13
North Macedonia,148,2,1,145,24-03-2020,23:13
Vietnam,134,,17,117,24-03-2020,23:13
Moldova,125,1,2,122,24-03-2020,23:13
Cyprus,124,3,3,118,24-03-2020,23:13
Albania,123,5,10,108,24-03-2020,23:13
Faeroe Islands,122,,23,99,24-03-2020,23:13
Burkina Faso,114,4,7,103,24-03-2020,23:13
Tunisia,114,3,1,110,24-03-2020,23:13
Malta,110,,2,108,24-03-2020,23:13
Brunei,104,,2,102,24-03-2020,23:13
Sri Lanka,102,,2,100,24-03-2020,23:13
Ukraine,97,3,1,93,24-03-2020,23:13
Réunion,94,,1,93,24-03-2020,23:13
Cambodia,91,,4,87,24-03-2020,23:13
Azerbaijan,87,1,10,76,24-03-2020,23:13
Senegal,86,,8,78,24-03-2020,23:13
Oman,84,,17,67,24-03-2020,23:13
Venezuela,84,,15,69,24-03-2020,23:13
Belarus,81,,22,59,24-03-2020,23:13
Afghanistan,74,1,1,72,24-03-2020,23:13
Ivory Coast,73,,2,71,24-03-2020,23:13
Kazakhstan,72,,,72,24-03-2020,23:13
Georgia,70,,9,61,24-03-2020,23:13
Cameroon,66,,2,64,24-03-2020,23:13
Guadeloupe,62,1,,61,24-03-2020,23:13
Palestine,60,,16,44,24-03-2020,23:13
Ghana,53,2,,51,24-03-2020,23:13
Martinique,53,1,,52,24-03-2020,23:13
Trinidad and Tobago,53,,,53,24-03-2020,23:13
Liechtenstein,51,,,51,24-03-2020,23:13
Uzbekistan,50,,,50,24-03-2020,23:13
Cuba,48,1,1,46,24-03-2020,23:13
Montenegro,47,1,,46,24-03-2020,23:13
DRC,45,2,,43,24-03-2020,23:13
Nigeria,44,1,2,41,24-03-2020,23:13
Mauritius,42,2,,40,24-03-2020,23:13
Kyrgyzstan,42,,,42,24-03-2020,23:13
Rwanda,40,,,40,24-03-2020,23:13
Bangladesh,39,4,5,30,24-03-2020,23:13
Puerto Rico,39,2,1,36,24-03-2020,23:13
Channel Islands,36,,,36,24-03-2020,23:13
Mayotte,36,,,36,24-03-2020,23:13
Guam,32,1,,31,24-03-2020,23:13
Honduras,30,,,30,24-03-2020,23:13
Bolivia,29,,,29,24-03-2020,23:13
Macao,28,,10,18,24-03-2020,23:13
Paraguay,27,2,,25,24-03-2020,23:13
Kenya,25,,,25,24-03-2020,23:13
Monaco,23,,1,22,24-03-2020,23:13
French Guiana,23,,6,17,24-03-2020,23:13
French Polynesia,23,,,23,24-03-2020,23:13
Isle of Man,23,,,23,24-03-2020,23:13
Guatemala,21,1,,20,24-03-2020,23:13
Jamaica,21,1,2,18,24-03-2020,23:13
Guyana,20,1,,19,24-03-2020,23:13
Togo,20,,1,19,24-03-2020,23:13
Barbados,17,,,17,24-03-2020,23:13
Madagascar,17,,,17,24-03-2020,23:13
U.S. Virgin Islands,17,,,17,24-03-2020,23:13
Gibraltar,15,,5,10,24-03-2020,23:13
Maldives,13,,5,8,24-03-2020,23:13
Aruba,12,,1,11,24-03-2020,23:13
Ethiopia,12,,,12,24-03-2020,23:13
Tanzania,12,,,12,24-03-2020,23:13
Mongolia,10,,,10,24-03-2020,23:13
New Caledonia,10,,,10,24-03-2020,23:13
Equatorial Guinea,9,,,9,24-03-2020,23:13
Uganda,9,,,9,24-03-2020,23:13
Saint Martin,8,,,8,24-03-2020,23:13
Namibia,7,,2,5,24-03-2020,23:13
Seychelles,7,,,7,24-03-2020,23:13
Suriname,7,,,7,24-03-2020,23:13
Cayman Islands,6,1,,5,24-03-2020,23:13
Curaçao,6,1,,5,24-03-2020,23:13
Gabon,6,1,,5,24-03-2020,23:13
Benin,6,,,6,24-03-2020,23:13
Bermuda,6,,,6,24-03-2020,23:13
Haiti,6,,,6,24-03-2020,23:13
El Salvador,5,,,5,24-03-2020,23:13
Greenland,5,,2,3,24-03-2020,23:13
Bahamas,4,,,4,24-03-2020,23:13
Congo,4,,,4,24-03-2020,23:13
Fiji,4,,,4,24-03-2020,23:13
Guinea,4,,,4,24-03-2020,23:13
Vatican City,4,,,4,24-03-2020,23:13
Eswatini,4,,,4,24-03-2020,23:13
Cabo Verde,3,1,,2,24-03-2020,23:13
Gambia,3,1,,2,24-03-2020,23:13
Sudan,3,1,,2,24-03-2020,23:13
Zimbabwe,3,1,,2,24-03-2020,23:13
Angola,3,,,3,24-03-2020,23:13
Antigua and Barbuda,3,,,3,24-03-2020,23:13
CAR,3,,,3,24-03-2020,23:13
Chad,3,,,3,24-03-2020,23:13
Djibouti,3,,,3,24-03-2020,23:13
Liberia,3,,,3,24-03-2020,23:13
Mozambique,3,,,3,24-03-2020,23:13
Myanmar,3,,,3,24-03-2020,23:13
Niger,3,,,3,24-03-2020,23:13
St. Barth,3,,,3,24-03-2020,23:13
Saint Lucia,3,,,3,24-03-2020,23:13
Zambia,3,,,3,24-03-2020,23:13
Nepal,2,,1,1,24-03-2020,23:13
Bhutan,2,,,2,24-03-2020,23:13
Dominica,2,,,2,24-03-2020,23:13
Laos,2,,,2,24-03-2020,23:13
Mauritania,2,,,2,24-03-2020,23:13
Nicaragua,2,,,2,24-03-2020,23:13
Sint Maarten,2,,,2,24-03-2020,23:13
Belize,1,,,1,24-03-2020,23:13
Eritrea,1,,,1,24-03-2020,23:13
Grenada,1,,,1,24-03-2020,23:13
Montserrat,1,,,1,24-03-2020,23:13
Papua New Guinea,1,,,1,24-03-2020,23:13
St. Vincent Grenadines,1,,,1,24-03-2020,23:13
Somalia,1,,,1,24-03-2020,23:13
Syria,1,,,1,24-03-2020,23:13
Timor-Leste,1,,,1,24-03-2020,23:13
Turks and Caicos,1,,,1,24-03-2020,23:13
China,"81,171","3,277","73,159","4,735",24-03-2020,23:17
Italy,"69,176","6,820","8,326","54,030",24-03-2020,23:17
USA,"52,650",676,370,"51,604",24-03-2020,23:17
Spain,"39,676","2,800","3,794","33,082",24-03-2020,23:17
Germany,"32,781",157,"3,243","29,381",24-03-2020,23:17
Iran,"24,811","1,934","8,913","13,964",24-03-2020,23:17
France,"22,304","1,100","3,281","17,923",24-03-2020,23:17
Switzerland,"9,877",122,131,"9,624",24-03-2020,23:17
S. Korea,"9,037",120,"3,507","5,410",24-03-2020,23:17
UK,"8,077",422,135,"7,520",24-03-2020,23:17
Netherlands,"5,560",276,2,"5,282",24-03-2020,23:17
Austria,"5,283",28,9,"5,246",24-03-2020,23:17
Belgium,"4,269",122,461,"3,686",24-03-2020,23:17
Norway,"2,779",12,6,"2,761",24-03-2020,23:17
Canada,"2,590",25,112,"2,453",24-03-2020,23:17
Portugal,"2,362",33,22,"2,307",24-03-2020,23:17
Sweden,"2,286",36,16,"2,234",24-03-2020,23:17
Australia,"2,144",8,118,"2,018",24-03-2020,23:17
Brazil,"2,100",34,2,"2,064",24-03-2020,23:17
Israel,"1,930",3,53,"1,874",24-03-2020,23:17
Turkey,"1,872",44,,"1,828",24-03-2020,23:17
Malaysia,"1,624",16,183,"1,425",24-03-2020,23:17
Denmark,"1,591",32,1,"1,558",24-03-2020,23:17
Czechia,"1,394",2,8,"1,384",24-03-2020,23:17
Japan,"1,193",43,285,865,24-03-2020,23:17
Ireland,"1,125",6,5,"1,114",24-03-2020,23:17
Luxembourg,"1,099",8,6,"1,085",24-03-2020,23:17
Ecuador,"1,049",27,3,"1,019",24-03-2020,23:17
Pakistan,972,7,18,947,24-03-2020,23:17
Chile,922,2,17,903,24-03-2020,23:17
Poland,884,10,1,873,24-03-2020,23:17
Thailand,827,4,52,771,24-03-2020,23:17
Finland,792,1,10,781,24-03-2020,23:17
Saudi Arabia,767,1,28,738,24-03-2020,23:17
Romania,762,11,79,672,24-03-2020,23:17
Greece,743,20,29,694,24-03-2020,23:17
Diamond Princess,712,10,587,115,24-03-2020,23:17
Indonesia,686,55,30,601,24-03-2020,23:17
Iceland,648,2,51,595,24-03-2020,23:17
Singapore,558,2,156,400,24-03-2020,23:17
South Africa,554,,4,550,24-03-2020,23:17
Philippines,552,35,20,497,24-03-2020,23:17
India,536,10,40,486,24-03-2020,23:17
Qatar,526,,41,485,24-03-2020,23:17
Russia,495,1,22,472,24-03-2020,23:17
Slovenia,480,4,3,473,24-03-2020,23:17
Peru,416,7,1,408,24-03-2020,23:17
Egypt,402,20,80,302,24-03-2020,23:17
Bahrain,392,3,177,212,24-03-2020,23:17
Hong Kong,386,4,102,280,24-03-2020,23:17
Croatia,382,1,5,376,24-03-2020,23:17
Estonia,369,,7,362,24-03-2020,23:17
Mexico,367,4,4,359,24-03-2020,23:17
Panama,345,6,1,338,24-03-2020,23:17
Lebanon,318,4,8,306,24-03-2020,23:17
Iraq,316,27,75,214,24-03-2020,23:17
Dominican Republic,312,6,3,303,24-03-2020,23:17
Colombia,306,3,6,297,24-03-2020,23:17
Serbia,303,3,15,285,24-03-2020,23:17
Argentina,301,6,52,243,24-03-2020,23:17
Algeria,264,19,24,221,24-03-2020,23:17
Armenia,249,,4,245,24-03-2020,23:17
UAE,248,2,45,201,24-03-2020,23:17
Bulgaria,218,3,3,212,24-03-2020,23:17
Taiwan,216,2,29,185,24-03-2020,23:17
Lithuania,209,2,1,206,24-03-2020,23:17
Slovakia,204,,7,197,24-03-2020,23:17
Latvia,197,,1,196,24-03-2020,23:17
Kuwait,191,,39,152,24-03-2020,23:17
San Marino,187,21,4,162,24-03-2020,23:17
Hungary,187,9,21,157,24-03-2020,23:17
Costa Rica,177,2,2,173,24-03-2020,23:17
Morocco,170,5,6,159,24-03-2020,23:17
Bosnia and Herzegovina,166,3,2,161,24-03-2020,23:17
Andorra,164,1,1,162,24-03-2020,23:17
Uruguay,162,,,162,24-03-2020,23:17
New Zealand,155,,12,143,24-03-2020,23:17
Jordan,153,,1,152,24-03-2020,23:17
North Macedonia,148,2,1,145,24-03-2020,23:17
Vietnam,134,,17,117,24-03-2020,23:17
Moldova,125,1,2,122,24-03-2020,23:17
Cyprus,124,3,3,118,24-03-2020,23:17
Albania,123,5,10,108,24-03-2020,23:17
Faeroe Islands,122,,23,99,24-03-2020,23:17
Burkina Faso,114,4,7,103,24-03-2020,23:17
Tunisia,114,3,1,110,24-03-2020,23:17
Malta,110,,2,108,24-03-2020,23:17
Brunei,104,,2,102,24-03-2020,23:17
Sri Lanka,102,,2,100,24-03-2020,23:17
Ukraine,97,3,1,93,24-03-2020,23:17
Réunion,94,,1,93,24-03-2020,23:17
Cambodia,91,,4,87,24-03-2020,23:17
Azerbaijan,87,1,10,76,24-03-2020,23:17
Senegal,86,,8,78,24-03-2020,23:17
Oman,84,,17,67,24-03-2020,23:17
Venezuela,84,,15,69,24-03-2020,23:17
Belarus,81,,22,59,24-03-2020,23:17
Afghanistan,74,1,1,72,24-03-2020,23:17
Ivory Coast,73,,2,71,24-03-2020,23:17
Kazakhstan,72,,,72,24-03-2020,23:17
Georgia,70,,9,61,24-03-2020,23:17
Cameroon,66,,2,64,24-03-2020,23:17
Guadeloupe,62,1,,61,24-03-2020,23:17
Palestine,60,,16,44,24-03-2020,23:17
Ghana,53,2,,51,24-03-2020,23:17
Martinique,53,1,,52,24-03-2020,23:17
Trinidad and Tobago,53,,,53,24-03-2020,23:17
Liechtenstein,51,,,51,24-03-2020,23:17
Uzbekistan,50,,,50,24-03-2020,23:17
Cuba,48,1,1,46,24-03-2020,23:17
Montenegro,47,1,,46,24-03-2020,23:17
DRC,45,2,,43,24-03-2020,23:17
Nigeria,44,1,2,41,24-03-2020,23:17
Mauritius,42,2,,40,24-03-2020,23:17
Kyrgyzstan,42,,,42,24-03-2020,23:17
Rwanda,40,,,40,24-03-2020,23:17
Bangladesh,39,4,5,30,24-03-2020,23:17
Puerto Rico,39,2,1,36,24-03-2020,23:17
Channel Islands,36,,,36,24-03-2020,23:17
Mayotte,36,,,36,24-03-2020,23:17
Guam,32,1,,31,24-03-2020,23:17
Honduras,30,,,30,24-03-2020,23:17
Bolivia,29,,,29,24-03-2020,23:17
Macao,28,,10,18,24-03-2020,23:17
Paraguay,27,2,,25,24-03-2020,23:17
Kenya,25,,,25,24-03-2020,23:17
Monaco,23,,1,22,24-03-2020,23:17
French Guiana,23,,6,17,24-03-2020,23:17
French Polynesia,23,,,23,24-03-2020,23:17
Isle of Man,23,,,23,24-03-2020,23:17
Guatemala,21,1,,20,24-03-2020,23:17
Jamaica,21,1,2,18,24-03-2020,23:17
Guyana,20,1,,19,24-03-2020,23:17
Togo,20,,1,19,24-03-2020,23:17
Barbados,17,,,17,24-03-2020,23:17
Madagascar,17,,,17,24-03-2020,23:17
U.S. Virgin Islands,17,,,17,24-03-2020,23:17
Gibraltar,15,,5,10,24-03-2020,23:17
Maldives,13,,5,8,24-03-2020,23:17
Aruba,12,,1,11,24-03-2020,23:17
Ethiopia,12,,,12,24-03-2020,23:17
Tanzania,12,,,12,24-03-2020,23:17
Mongolia,10,,,10,24-03-2020,23:17
New Caledonia,10,,,10,24-03-2020,23:17
Equatorial Guinea,9,,,9,24-03-2020,23:17
Uganda,9,,,9,24-03-2020,23:17
Saint Martin,8,,,8,24-03-2020,23:17
Namibia,7,,2,5,24-03-2020,23:17
Seychelles,7,,,7,24-03-2020,23:17
Suriname,7,,,7,24-03-2020,23:17
Cayman Islands,6,1,,5,24-03-2020,23:17
Curaçao,6,1,,5,24-03-2020,23:17
Gabon,6,1,,5,24-03-2020,23:17
Benin,6,,,6,24-03-2020,23:17
Bermuda,6,,,6,24-03-2020,23:17
Haiti,6,,,6,24-03-2020,23:17
El Salvador,5,,,5,24-03-2020,23:17
Greenland,5,,2,3,24-03-2020,23:17
Bahamas,4,,,4,24-03-2020,23:17
Congo,4,,,4,24-03-2020,23:17
Fiji,4,,,4,24-03-2020,23:17
Guinea,4,,,4,24-03-2020,23:17
Vatican City,4,,,4,24-03-2020,23:17
Eswatini,4,,,4,24-03-2020,23:17
Cabo Verde,3,1,,2,24-03-2020,23:17
Gambia,3,1,,2,24-03-2020,23:17
Sudan,3,1,,2,24-03-2020,23:17
Zimbabwe,3,1,,2,24-03-2020,23:17
Angola,3,,,3,24-03-2020,23:17
Antigua and Barbuda,3,,,3,24-03-2020,23:17
CAR,3,,,3,24-03-2020,23:17
Chad,3,,,3,24-03-2020,23:17
Djibouti,3,,,3,24-03-2020,23:17
Liberia,3,,,3,24-03-2020,23:17
Mozambique,3,,,3,24-03-2020,23:17
